topic,difficulty,question,option_a,option_b,option_c,correct_answer,explanation
NLP,2,What does TF-IDF measure?,Sentence similarity,Grammar complexity,Word frequency only,Word importance in a document relative to corpus,TF-IDF measures word importance in a document relative to a corpus.
NLP,3,What does a language model do?,Classify images,Detect objects,Translate languages,Predicts next word probability,Language models assign probabilities to sequences of words.
NLP,3,What is named entity recognition?,Sentiment analysis,Text summarization,Machine translation,Identifying entities like names and places,NER identifies and classifies named entities such as persons and organizations.
NLP,3,What is sentiment analysis?,Topic modeling,Machine translation,Text generation,Determining emotional tone of text,"Sentiment analysis classifies text as positive, negative, or neutral."
NLP,4,What is the Transformer architecture based on?,Recurrence,Convolution,Graph networks,Self-attention mechanism,Transformers use self-attention to process all tokens in parallel.
NLP,4,What does BERT stand for?,Basic Embedding Recurrent Transformer,Batch Encoding Regression Tool,Bidirectional Evaluation Representation Tool,Bidirectional Encoder Representations from Transformers,BERT reads text bidirectionally for deep context understanding.
NLP,5,What does GPT stand for?,Graph Processing Tool,Gated Prediction Transformer,General Purpose Transformer,Generative Pretrained Transformer,GPT is an autoregressive language model that generates text by predicting the next token.
NLP,5,What is fine-tuning in NLP?,Training from scratch,Data augmentation,Model pruning,Adapting pretrained model to specific task,Fine-tuning updates a pretrained model on task-specific data.
NLP,3,What is text summarization?,Translation,Classification,Sentiment detection,Condensing text to key points,Text summarization produces a shorter version of a document preserving key information.
NLP,4,What is machine translation?,Text classification,Summarization,Named entity recognition,Automatically translating between languages,Machine translation uses models to automatically convert text from one language to another.
Computer Vision,1,What is image classification?,Object detection,Image segmentation,Image generation,Assigning a label to an image,Image classification assigns a single category label to an entire image.
Computer Vision,1,What is object detection?,Image classification,Image generation,Image segmentation,Locating and classifying objects in images,Object detection identifies and localizes multiple objects within an image.
Computer Vision,2,What is image segmentation?,Object detection,Image classification,Feature extraction,Partitioning image into pixel-level regions,Image segmentation assigns a class label to every pixel in an image.
Computer Vision,2,What is data augmentation in CV?,Model compression,Feature extraction,Batch normalization,Artificially expanding training data,Data augmentation applies transformations to increase dataset diversity.
Computer Vision,3,What is a feature map in CNN?,Input image,Pooling result,Weight matrix,Output of a convolutional layer,Feature maps are the outputs of convolutional layers representing detected patterns.
Computer Vision,3,What does YOLO stand for?,You Only Learn Once,Your Object Learning Output,Yield Optimized Layer Output,You Only Look Once,YOLO detects objects in a single forward pass for real-time performance.
Computer Vision,4,What is image super-resolution?,Reducing image size,Image compression,Image classification,Increasing image resolution using AI,Super-resolution reconstructs high-resolution images from low-resolution inputs.
Computer Vision,4,What is optical flow?,Color detection,Edge detection,Object tracking,Estimating motion between frames,Optical flow estimates the apparent motion of objects between consecutive video frames.
Computer Vision,5,What is a Vision Transformer?,CNN variant,RNN for images,Capsule network,Transformer applied to image patches,ViT splits images into patches and applies transformer self-attention.
Computer Vision,5,What is contrastive learning in CV?,Supervised classification,Object detection,Image segmentation,Learning by comparing similar/dissimilar pairs,Contrastive learning trains models to bring similar samples closer and push dissimilar ones apart.
Computer Vision,3,What is edge detection?,Color extraction,Object tracking,Image compression,Finding boundaries in images,Edge detection identifies sharp changes in intensity that correspond to object boundaries.
Reinforcement Learning,1,What is an agent in RL?,Dataset,Loss function,Reward signal,Entity that takes actions in environment,The agent is the learner that interacts with the environment to maximize reward.
Reinforcement Learning,1,What is a reward in RL?,Penalty only,Model weight,Training label,Feedback signal from environment,Rewards are scalar signals the agent receives after each action.
Reinforcement Learning,2,What is a policy in RL?,Dataset,Reward function,Value function,Mapping from states to actions,A policy defines the agent behavior by mapping each state to an action.
Reinforcement Learning,2,What is the Q-value?,Immediate reward only,Policy gradient,State value only,Expected cumulative reward for state-action pair,Q-value estimates the total expected reward from taking an action in a state.
Reinforcement Learning,3,What is Q-learning?,Policy gradient method,Actor-critic method,Model-based planning,Model-free RL algorithm using Q-values,Q-learning learns the optimal action-value function without a model of the environment.
Reinforcement Learning,3,What is the exploration-exploitation tradeoff?,Bias-variance tradeoff,Overfitting tradeoff,Speed-accuracy tradeoff,Balancing new actions vs known good actions,The agent must balance exploring new actions and exploiting known rewarding ones.
Reinforcement Learning,4,What is Deep Q-Network (DQN)?,Policy gradient method,Model-based RL,Actor-critic method,Q-learning with neural network function approximation,DQN uses a neural network to approximate Q-values for high-dimensional inputs.
Reinforcement Learning,4,What does the Bellman equation express?,Loss function,Reward shaping,Policy gradient,Recursive relationship for value functions,The Bellman equation expresses the value of a state as immediate reward plus discounted future value.
Reinforcement Learning,5,What does PPO stand for?,Partial Policy Optimization,Probabilistic Policy Output,Predictive Policy Optimization,Proximal Policy Optimization,PPO clips updates to prevent large destabilizing policy changes.
Reinforcement Learning,5,What is the actor-critic method?,Single network RL,Model-based planning,Pure policy gradient,Combines policy and value function networks,Actor-critic uses an actor to select actions and a critic to evaluate them.
Data Science,1,What is a DataFrame?,Database table,Neural network layer,Graph structure,2D labeled data structure in pandas,A DataFrame is a 2D tabular data structure with labeled rows and columns.
Data Science,1,What does EDA stand for?,Error Detection Algorithm,Efficient Data Algorithm,Exploratory Deep Analysis,Exploratory Data Analysis,EDA involves summarizing and visualizing data to understand its structure.
Data Science,2,What is a null value?,Zero value,Negative number,Empty string,Missing or undefined data,Null values represent missing data and must be handled before model training.
Data Science,2,What is feature scaling?,Adding features,Removing features,Creating new features,Normalizing feature ranges,Feature scaling standardizes the range of features to prevent dominance by large values.
Data Science,3,What does PCA stand for?,Partial Correlation Analysis,Predictive Clustering Algorithm,Probabilistic Component Analysis,Principal Component Analysis,PCA reduces dimensionality by projecting data onto principal components of maximum variance.
Data Science,3,What does a correlation matrix show?,Confusion matrix values,Covariance values,Loss values,Pairwise feature correlations,A correlation matrix displays correlation coefficients between all pairs of features.
Data Science,4,What is the curse of dimensionality?,Too little data,Overfitting problem,Underfitting problem,Performance degrades with high dimensions,"As dimensions increase, data becomes sparse and distance metrics lose meaning."
Data Science,4,What does SMOTE do?,Feature selection,Dimensionality reduction,Data cleaning,Generates synthetic minority class samples,SMOTE generates synthetic samples for minority classes to address class imbalance.
Data Science,5,What is A/B testing?,Model comparison,Data cleaning,Feature engineering,Controlled experiment comparing two variants,A/B testing compares two versions of a system to determine which performs better.
Python,1,What is a Python list?,Immutable sequence,Dictionary,Tuple,Mutable ordered collection,A Python list is a mutable ordered collection that can hold items of any type.
Python,1,What does len() return?,Sorts a list,Reverses a list,Sums a list,Length of an object,len() returns the number of items in an object like a list or string.
Python,2,What is a lambda function?,Class method,Generator,Decorator,Anonymous inline function,Lambda functions are small anonymous functions defined with the lambda keyword.
Python,2,What is list comprehension?,Loop syntax,Dictionary method,Generator expression,Concise way to create lists,List comprehensions provide a compact syntax to create lists from iterables.
Python,2,What is a decorator in Python?,Data type,Module,Class method,Function that wraps another function,Decorators modify or extend the behavior of functions without changing their source code.
Python,3,What is a generator in Python?,List type,Class type,Iterator class,Function that yields values lazily,"Generators produce values one at a time using yield, saving memory for large sequences."
Python,3,What is the GIL in Python?,Graphics Interface Layer,General Import Library,Global Index Lock,Global Interpreter Lock,The GIL prevents multiple threads from executing Python bytecode simultaneously.
Python,4,What is asyncio used for?,Database access,File compression,Image processing,Asynchronous I/O programming,asyncio enables writing concurrent code using async/await syntax for I/O-bound tasks.
Python,4,What is a context manager?,Error handler,Thread manager,Memory allocator,Manages resource setup and teardown,Context managers use __enter__ and __exit__ to manage resources like files automatically.
Python,5,What is a metaclass in Python?,Base class,Module type,Abstract class,Class of a class,Metaclasses define the behavior of classes themselves enabling class creation customization.
Algorithms,1,What does time complexity measure?,Memory usage,Code length,Number of variables,Algorithm runtime growth relative to input,Time complexity describes how runtime grows relative to input size using Big O notation.
Algorithms,1,What is O(1) complexity?,Linear time,Quadratic time,Logarithmic time,Constant time regardless of input,O(1) means the algorithm takes the same time regardless of input size.
Algorithms,2,What is binary search time complexity?,O(n),O(n^2),O(n log n),O(log n),Binary search halves the search space each step giving O(log n) time complexity.
Algorithms,2,Which sort is best for nearly sorted data?,Quicksort,Merge Sort,Heap Sort,Insertion Sort,Insertion sort runs in O(n) for nearly sorted data making it optimal in that case.
Algorithms,3,What is dynamic programming?,Greedy approach,Divide and conquer,Brute force,Solving problems by storing subproblem results,DP solves complex problems by breaking them into overlapping subproblems and caching results.
Algorithms,3,What is merge sort time complexity?,O(n),O(n^2),O(log n),O(n log n),Merge sort divides the array in half recursively and merges giving O(n log n) always.
Algorithms,4,What is a greedy algorithm?,Exhaustive search,Dynamic programming,Backtracking,Makes locally optimal choices at each step,Greedy algorithms make the best immediate choice hoping to find the global optimum.
Algorithms,4,What is Dijkstra's algorithm used for?,Sorting arrays,Tree traversal,Graph coloring,Shortest path in weighted graphs,Dijkstra finds the shortest path from a source to all nodes in a non-negative weighted graph.
Algorithms,5,What does P vs NP ask?,Sorting complexity,Graph complexity,Space complexity,Whether NP problems can be solved in polynomial time,P vs NP asks if problems verifiable in polynomial time can also be solved in polynomial time.
Data Structures,1,What ordering does a stack use?,FIFO,Random,Priority-based,LIFO,A stack follows Last In First Out - the last element added is the first to be removed.
Data Structures,1,What ordering does a queue use?,LIFO,Random,Priority-based,FIFO,A queue follows First In First Out - elements are added at back and removed from front.
Data Structures,2,What is a linked list?,Array variant,Hash table,Binary tree,Nodes connected by pointers,A linked list stores elements in nodes where each node points to the next node.
Data Structures,2,What is a binary tree?,Linear structure,Graph,Hash table,Tree where each node has at most 2 children,A binary tree is a hierarchical structure where each node has at most a left and right child.
Data Structures,3,What is a hash table?,Sorted array,Linked list,Binary tree,Key-value store with O(1) average access,Hash tables use a hash function to map keys to indices for fast average-case O(1) lookup.
Data Structures,3,What property does a heap satisfy?,All nodes equal,Sorted order,Random order,Parent always greater or smaller than children,A heap is a complete binary tree where parent nodes are always greater or smaller than children.
Data Structures,4,What is a graph?,Linear structure,Tree variant,Hash table,Nodes connected by edges,A graph consists of vertices and edges representing relationships between entities.
Data Structures,4,What is a trie optimized for?,Sorting numbers,Graph traversal,Numerical computation,Prefix-based string search,A trie stores strings character by character enabling fast prefix-based search.
Data Structures,5,What is a segment tree used for?,Sorting,Graph traversal,String matching,Range queries and updates in O(log n),Segment trees efficiently answer range queries like sum or min over array intervals.
Linear Algebra,1,What is a vector?,Scalar value,Matrix,Tensor,Ordered list of numbers,A vector is an ordered collection of numbers representing magnitude and direction.
Linear Algebra,2,What is matrix multiplication?,Element-wise product,Matrix addition,Matrix transpose,Dot product of rows and columns,Matrix multiplication computes the dot product of rows of the first matrix with columns of the second.
Linear Algebra,3,What is an eigenvalue?,Matrix rank,Determinant,Trace,Scalar satisfying Av = lambda*v,Eigenvalues are scalars where a matrix transformation only scales the eigenvector.
Linear Algebra,3,What does SVD stand for?,Standard Vector Division,Sparse Value Detection,Symmetric Value Decomposition,Singular Value Decomposition,"SVD factorizes a matrix into U, Sigma, V^T used in dimensionality reduction."
Linear Algebra,4,What is the dot product?,Cross product,Matrix inverse,Outer product,Sum of element-wise products,The dot product of two vectors is the sum of the products of their corresponding elements.
Probability,1,What range does probability take?,Negative to positive,0 to 100,Any real number,0 to 1,Probability measures the likelihood of an event occurring ranging from 0 to 1.
Probability,2,What is conditional probability P(A|B)?,P(A) + P(B),P(A) * P(B),P(A) / P(B),Probability of A given B has occurred,Conditional probability is the probability of event A occurring given that B has occurred.
Probability,3,What does Bayes theorem relate?,Mean and variance,Frequency and probability,Correlation and causation,Prior and posterior probabilities,Bayes theorem updates the probability of a hypothesis given new evidence.
Probability,3,What is a probability distribution?,Single value,Histogram only,Frequency table,Function describing likelihood of outcomes,A probability distribution describes the likelihood of each possible outcome of a random variable.
Statistics,2,What is the mean?,Most frequent value,Middle value,Square root of variance,Average of all values,The mean is the sum of all values divided by the count representing central tendency.
Statistics,2,What is standard deviation?,Mean value,Median,Mode,Measure of data spread around mean,Standard deviation quantifies how much values deviate from the mean on average.
Statistics,3,What does the central limit theorem state?,Law of large numbers,Bayes theorem,Regression to mean,Sample means approach normal distribution,CLT states that the distribution of sample means approaches normal as sample size increases.
Statistics,3,What is a p-value?,Effect size,Confidence interval,Sample size,Probability of results given null hypothesis is true,The p-value measures the probability of observing results at least as extreme as the data under the null hypothesis.
Calculus,2,What is a derivative?,Integral,Limit,Area under curve,Rate of change of a function,The derivative measures how a function changes as its input changes.
Calculus,3,What is the gradient in ML?,Scalar loss value,Weight matrix,Bias vector,Vector of partial derivatives,The gradient is a vector of partial derivatives indicating the direction of steepest ascent.
Calculus,3,What is the chain rule?,Product rule,Quotient rule,Power rule,Derivative of composite functions,The chain rule computes the derivative of a composite function by multiplying derivatives of each part.
Databases,1,What is SQL?,Scripting language,System Query Logic,Structured Query List,Structured Query Language for databases,SQL is a standard language for managing and querying relational databases.
Databases,2,What is a primary key?,Foreign key,Index,Unique constraint,Unique identifier for a table row,A primary key uniquely identifies each record in a database table.
Databases,2,What is database normalization?,Data encryption,Data compression,Data replication,Organizing data to reduce redundancy,Normalization organizes tables to minimize redundancy and improve data integrity.
Databases,3,What is a database index?,Primary key,Foreign key,Constraint,Data structure for faster queries,Indexes speed up data retrieval by creating a separate lookup structure for columns.
Databases,3,What does ACID stand for?,Acid test properties,Access Control ID,Async Concurrent Isolation Design,Atomicity Consistency Isolation Durability,ACID properties ensure reliable database transactions even in case of failures.
Databases,4,What is a NoSQL database?,Relational database,SQL variant,Normalized database,Non-relational flexible schema database,"NoSQL databases store data in flexible formats like documents, key-value, or graphs."
Operating Systems,1,What does an OS do?,Runs applications only,Stores files only,Manages network only,Manages hardware and software resources,An operating system manages hardware resources and provides services for application programs.
Operating Systems,2,What is a process?,File,Thread,Socket,Running instance of a program,"A process is an executing program with its own memory space, resources, and state."
Operating Systems,2,What is a thread?,Process,File descriptor,Socket,Lightweight unit of execution within a process,Threads share a process memory space and run concurrently enabling parallelism.
Operating Systems,3,What is deadlock?,Race condition,Memory leak,Starvation,Processes waiting for each other indefinitely,Deadlock occurs when processes are stuck waiting for resources held by each other.
Operating Systems,3,What is virtual memory?,CPU cache,RAM only,ROM,Extends RAM using disk storage,Virtual memory uses disk space to extend available RAM allowing larger programs to run.
Operating Systems,4,What is a semaphore?,Process type,Memory type,File type,Synchronization primitive for concurrency,Semaphores control access to shared resources by multiple processes using counters.
Networking,1,What is an IP address?,Domain name,MAC address,Port number,Unique numerical device identifier,An IP address is a unique numerical label assigned to each device on a network.
Networking,1,What does HTTP stand for?,High Transfer Text Protocol,Hyperlink Text Transfer Process,Hybrid Transfer Text Protocol,HyperText Transfer Protocol,HTTP is the protocol used for transmitting web pages over the internet.
Networking,2,What does TCP guarantee?,Fast delivery,Unordered delivery,Lossy delivery,Reliable ordered delivery,TCP ensures reliable ordered delivery of data between applications using acknowledgments.
Networking,2,What does DNS do?,Encrypts traffic,Routes packets,Assigns IP addresses,Translates domain names to IP addresses,DNS translates human-readable domain names into IP addresses for routing.
Networking,3,What is a firewall?,Router,Switch,Load balancer,Network security system filtering traffic,A firewall monitors and controls incoming and outgoing network traffic based on security rules.
Networking,3,What is REST API?,Database protocol,Network protocol,Messaging protocol,Architectural style for web services,REST is an architectural style using HTTP methods for stateless client-server communication.
Generative AI,1,What does generative AI primarily do?,Classify existing data,Delete redundant data,Compress datasets,Create new content such as text images or audio,Generative AI models learn patterns from training data and use them to produce novel outputs like text images audio or code.
Generative AI,1,Which of the following is a generative AI model?,Random Forest,Support Vector Machine,K-Nearest Neighbors,GPT-4,GPT-4 is a large generative AI model developed by OpenAI that can generate human-like text.
Generative AI,1,What type of data can generative AI produce?,Only numerical data,Only structured tables,Only binary outputs,Text images audio video and code,Generative AI is multimodal and can produce a wide variety of content types depending on the model architecture.
Generative AI,1,What does the term hallucination mean in generative AI?,When the model runs out of memory,When the model generates very slow outputs,When the model refuses to answer,When the model generates plausible but factually incorrect content,Hallucination refers to confident but incorrect outputs produced by generative models that are not grounded in facts.
Generative AI,1,What is a prompt in generative AI?,A hardware interrupt signal,A database query,A model checkpoint,The input text given to a generative model to guide its output,A prompt is the instruction or context provided to a generative model that shapes the content and style of its response.
Generative AI,2,What is a GAN?,A gradient accumulation network,A graph attention network,A gated activation node,A Generative Adversarial Network with a generator and discriminator,GANs consist of two neural networks that compete against each other to produce increasingly realistic synthetic data.
Generative AI,2,What is a diffusion model?,A model that spreads data across nodes,A model that diffuses gradients,A model that blurs inputs,A model that learns to reverse a noise process to generate data,Diffusion models generate data by learning to denoise progressively noisy versions of training samples.
Generative AI,2,What is the role of a discriminator in a GAN?,To generate fake samples,To encode input data,To compress latent vectors,To distinguish real data from generated data,The discriminator acts as a critic that tries to identify whether a given sample is real or produced by the generator.
Generative AI,2,What is latent space in generative models?,The output probability distribution,The training loss surface,The input feature matrix,A compressed representation of data used to generate new samples,Latent space is a lower-dimensional space where the model encodes data patterns and from which new samples can be decoded.
Generative AI,2,What is zero-shot generation?,Generating with zero training data,Generating with no GPU,Generating only one token,Generating outputs for tasks the model was not explicitly trained on,Zero-shot generation leverages the broad knowledge of large models to handle new tasks without any task-specific examples.
Generative AI,2,What is a text-to-image model?,A model that converts images to captions,A model that classifies text,A model that extracts text from images,A model that generates images from natural language descriptions,Text-to-image models like DALL-E and Stable Diffusion take text prompts as input and produce corresponding images.
Generative AI,3,What is mode collapse in GANs?,When the discriminator always wins,When gradients vanish during training,When the model overfits to noise,When the generator produces limited variety of outputs,Mode collapse occurs when the generator learns to produce only a narrow set of outputs that fool the discriminator.
Generative AI,3,What is a Variational Autoencoder (VAE)?,A model that only encodes data,A model that uses adversarial training,A model that classifies latent vectors,A generative model that encodes data into a distribution and samples from it,VAEs learn a probabilistic latent space and generate new data by sampling from the learned distribution.
Generative AI,3,What is temperature in text generation?,The hardware heat during inference,The learning rate schedule,The dropout probability,A parameter controlling randomness in token sampling,Higher temperature increases diversity and creativity in generated text while lower temperature makes outputs more deterministic.
Generative AI,3,What is top-p sampling?,Sampling from the top layer only,Selecting the highest probability token always,Sampling based on position encoding,Sampling from the smallest set of tokens whose cumulative probability exceeds p,Top-p nucleus sampling restricts token selection to a dynamic vocabulary based on cumulative probability threshold.
Generative AI,3,What distinguishes autoregressive generation?,Generating all tokens simultaneously,Using a fixed template,Copying from training data,Generating tokens one at a time conditioned on previous tokens,Autoregressive models generate sequences by predicting each token based on all previously generated tokens.
Generative AI,4,What is classifier-free guidance in diffusion models?,A method to remove the classifier head,A technique to skip gradient computation,A way to train without labels,A technique to steer generation using conditional and unconditional scores,Classifier-free guidance blends conditional and unconditional model outputs to improve sample quality and adherence to prompts.
Generative AI,4,What is the CLIP model used for in generative AI?,Clipping gradient norms,Compressing image files,Limiting token lengths,Aligning images and text in a shared embedding space,CLIP learns joint embeddings for images and text enabling text-guided image generation and retrieval.
Generative AI,4,What is a foundation model?,A model trained on a single task,A model with fixed weights,A model used only for classification,A large model pre-trained on broad data and adaptable to many tasks,Foundation models are trained at scale on diverse data and serve as a base for fine-tuning or prompting across many downstream tasks.
Generative AI,4,What is RLHF in the context of generative AI?,Recursive Layer Hierarchical Fusion,Regularized Loss with Heuristic Feedback,Random Latent Hidden Features,Reinforcement Learning from Human Feedback,RLHF aligns generative models with human preferences by training a reward model on human ratings and optimizing the generator with RL.
Generative AI,4,What is a token in generative AI?,A security credential,A database record,A pixel in an image,A unit of text such as a word or subword used by language models,Tokenization splits text into tokens which are the basic units processed by language models during training and inference.
Generative AI,5,What is the role of the KL divergence term in a VAE loss?,To measure reconstruction accuracy,To penalize large weights,To maximize likelihood directly,To regularize the latent space to follow a prior distribution,The KL divergence term in the VAE ELBO encourages the learned posterior to stay close to the prior enabling smooth sampling.
Generative AI,5,What is score matching in generative models?,Evaluating model accuracy on benchmarks,Matching output scores to labels,Ranking generated samples,A training objective that estimates the gradient of the data log-density,Score matching trains models to predict the score function of the data distribution enabling diffusion and energy-based models.
Generative AI,5,What is the evidence lower bound (ELBO) used for?,Computing cross-entropy loss,Measuring discriminator accuracy,Evaluating GAN performance,Optimizing variational inference by bounding the log-likelihood,The ELBO provides a tractable lower bound on the log-likelihood used to train VAEs and other latent variable models.
Generative AI,5,What is classifier guidance in diffusion models?,Using a classifier to filter outputs,Training a classifier on generated data,Replacing the diffusion process with classification,Using gradients from a classifier to steer the diffusion sampling process,Classifier guidance modifies the score function during sampling by adding gradients from a pre-trained classifier to improve conditional generation.
Generative AI,4,What is the purpose of a noise schedule in diffusion models?,To add noise to labels,To schedule GPU usage,To randomize batch order,To control how noise is added and removed during the diffusion process,The noise schedule defines the variance of noise added at each diffusion step affecting training stability and sample quality.
Generative AI,5,What is flow matching in generative modeling?,Matching data flows in pipelines,Aligning attention flows,Tracking gradient flows,A training method that learns a vector field to transport noise to data,Flow matching trains continuous normalizing flows by regressing on simple conditional vector fields enabling efficient high-quality generation.
Generative AI,3,What is prompt injection in generative AI?,A method to speed up inference,A technique to compress prompts,A way to add context to embeddings,An attack where malicious instructions are hidden in input to hijack model behavior,Prompt injection exploits the model tendency to follow instructions by embedding adversarial commands in user-provided text.
